Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD2368,12,Male,High School,Business,No,1,1,No,Computer Science,Advanced,1,No,2,Low,Yes,Neutral,No,North America,Yes
STUD2371,12,Prefer not to say,High School,Medicine,Yes,7,1,Yes,Economics,Advanced,3,No,2,Medium,No,Positive,Yes,Europe,Yes
STUD2375,12,Non-binary,High School,Arts,No,7,5,Yes,Math,Beginner,5,No,2,High,No,Negative,No,Africa,No
STUD2390,12,Non-binary,Undergraduate,Business,Yes,0,4,No,Computer Science,Intermediate,4,Yes,5,Medium,Yes,Neutral,No,Asia,Yes
STUD2413,12,Female,Postgraduate,Engineering,Yes,8,2,No,Math,Intermediate,5,No,5,High,Yes,Neutral,Yes,North America,Yes
STUD2456,12,Non-binary,Postgraduate,Engineering,Yes,4,1,No,Math,Advanced,4,Yes,3,High,Yes,Positive,No,Oceania,Yes
STUD2484,12,Non-binary,Postgraduate,Law,No,4,4,No,Computer Science,Intermediate,2,No,1,High,No,Positive,Yes,Africa,Yes
STUD2508,12,Female,High School,Business,No,4,2,No,Biology,Advanced,1,Yes,3,Medium,Yes,Negative,No,South America,Yes
STUD2521,12,Male,Postgraduate,Business,Yes,9,4,Yes,Art,Intermediate,1,No,2,High,Yes,Positive,Yes,North America,Yes
STUD2537,12,Female,High School,Education,No,8,2,Yes,Math,Advanced,4,Yes,1,High,Yes,Neutral,No,North America,Yes
STUD2540,12,Non-binary,Undergraduate,Law,No,5,2,No,Math,Intermediate,1,No,1,High,No,Negative,Yes,Africa,Yes
STUD2567,12,Non-binary,High School,Science,No,9,4,No,Physics,Beginner,5,Yes,3,Medium,Yes,Neutral,Yes,South America,No
STUD2605,12,Female,Undergraduate,Law,Yes,6,1,Yes,History,Beginner,4,No,4,Medium,Yes,Positive,No,North America,Yes
STUD2622,12,Prefer not to say,Postgraduate,Engineering,No,7,3,Yes,Art,Advanced,3,Yes,1,Medium,No,Positive,No,Europe,No
STUD2623,12,Male,High School,Science,Yes,9,4,Yes,Biology,Intermediate,5,No,2,High,No,Neutral,Yes,Africa,Yes
STUD2635,12,Prefer not to say,Undergraduate,Arts,Yes,3,5,Yes,Math,Beginner,3,No,2,High,Yes,Neutral,No,Europe,No
STUD2645,12,Male,Undergraduate,Law,No,4,3,Yes,Biology,Intermediate,2,No,1,High,Yes,Negative,Yes,South America,Yes
STUD2660,12,Prefer not to say,Undergraduate,Science,No,2,1,Yes,History,Beginner,1,Yes,3,Low,Yes,Positive,Yes,Asia,No
STUD2665,12,Female,Undergraduate,Science,No,10,3,Yes,Economics,Intermediate,1,No,4,Low,No,Negative,No,Oceania,No
STUD2706,12,Female,Undergraduate,Medicine,Yes,1,4,No,Physics,Beginner,4,Yes,3,Low,No,Positive,No,North America,No
STUD2731,12,Female,Postgraduate,Medicine,No,10,5,Yes,Computer Science,Intermediate,5,Yes,5,Low,Yes,Positive,No,North America,No
STUD2837,12,Female,High School,Science,Yes,9,1,No,Physics,Advanced,2,Yes,4,High,Yes,Positive,Yes,North America,Yes
STUD2892,12,Prefer not to say,Postgraduate,Medicine,No,10,5,Yes,History,Intermediate,5,Yes,5,Low,No,Negative,Yes,Oceania,Yes
STUD2899,12,Prefer not to say,Postgraduate,Engineering,Yes,2,4,Yes,History,Beginner,5,Yes,4,Low,No,Negative,Yes,North America,No
STUD2920,12,Prefer not to say,High School,Engineering,No,9,4,Yes,Art,Beginner,3,No,2,Medium,No,Negative,Yes,North America,Yes
STUD2964,12,Female,High School,Science,Yes,9,2,No,Computer Science,Beginner,1,Yes,4,Low,Yes,Negative,Yes,Oceania,No
STUD2966,12,Prefer not to say,Postgraduate,Science,No,8,1,No,Biology,Intermediate,1,Yes,5,Low,Yes,Positive,Yes,Oceania,No
STUD2989,12,Non-binary,High School,Business,Yes,0,5,Yes,Computer Science,Beginner,2,No,5,Medium,No,Neutral,Yes,Oceania,No
STUD3020,12,Female,Postgraduate,Law,Yes,6,4,Yes,Economics,Intermediate,3,Yes,2,Low,No,Negative,Yes,Oceania,Yes
STUD3062,12,Female,High School,Arts,Yes,3,3,No,Math,Beginner,3,Yes,4,Low,No,Neutral,Yes,Asia,Yes
STUD3067,12,Non-binary,Undergraduate,Medicine,No,9,5,No,Art,Beginner,4,Yes,5,Low,Yes,Neutral,Yes,Europe,Yes
STUD3086,12,Male,High School,Arts,Yes,7,2,Yes,Computer Science,Beginner,4,Yes,5,Medium,Yes,Negative,No,South America,Yes
STUD3110,12,Male,Undergraduate,Medicine,Yes,10,1,Yes,Art,Intermediate,4,No,5,Medium,No,Negative,No,Europe,Yes
STUD3118,12,Male,High School,Arts,Yes,10,3,No,History,Intermediate,2,No,1,Medium,No,Positive,No,Europe,Yes
STUD3128,12,Female,Undergraduate,Medicine,Yes,6,3,Yes,Physics,Advanced,4,No,4,Low,Yes,Neutral,No,Europe,No
STUD3131,12,Male,High School,Education,Yes,2,3,Yes,History,Intermediate,2,No,1,High,No,Neutral,No,Asia,Yes
STUD3162,12,Female,High School,Law,Yes,10,1,Yes,Economics,Beginner,1,No,4,High,Yes,Negative,No,Africa,Yes
STUD3210,12,Female,Postgraduate,Law,Yes,3,2,Yes,Art,Intermediate,4,Yes,5,High,No,Negative,No,Africa,No
STUD3214,12,Female,Postgraduate,Business,No,5,1,No,Art,Intermediate,5,Yes,3,Medium,No,Positive,Yes,Africa,Yes
STUD3230,12,Female,High School,Education,Yes,2,5,No,Math,Intermediate,1,Yes,2,Medium,Yes,Positive,No,Europe,No
STUD3242,12,Male,Postgraduate,Law,Yes,5,5,Yes,Physics,Beginner,4,Yes,1,Medium,Yes,Negative,No,North America,Yes
STUD3272,12,Male,Undergraduate,Law,Yes,0,5,Yes,Biology,Beginner,3,No,5,Medium,No,Positive,Yes,Africa,No
STUD3297,12,Female,High School,Science,Yes,9,2,Yes,Physics,Advanced,5,No,1,High,No,Positive,No,South America,No
STUD3302,12,Female,Undergraduate,Engineering,Yes,5,4,No,Math,Advanced,4,No,3,Low,No,Negative,Yes,Asia,Yes
STUD3329,12,Prefer not to say,Undergraduate,Science,Yes,9,5,No,Biology,Intermediate,1,No,5,Low,Yes,Negative,No,Africa,No
STUD3380,12,Male,High School,Education,Yes,0,4,No,Math,Beginner,3,No,2,Medium,Yes,Neutral,No,Africa,No
STUD3414,12,Prefer not to say,Undergraduate,Science,No,2,4,No,History,Intermediate,1,No,1,Medium,Yes,Negative,Yes,Oceania,Yes
STUD3428,12,Female,High School,Law,No,9,1,No,Economics,Advanced,2,Yes,2,Medium,Yes,Positive,Yes,Asia,No
STUD3444,12,Prefer not to say,Undergraduate,Education,Yes,2,3,No,History,Beginner,2,No,4,Medium,No,Neutral,No,South America,Yes
STUD3459,12,Non-binary,High School,Arts,Yes,10,1,Yes,Economics,Intermediate,4,No,3,Medium,No,Neutral,No,Africa,No
STUD3464,12,Female,Undergraduate,Education,No,4,1,Yes,Art,Beginner,3,No,4,Low,Yes,Positive,Yes,South America,No
STUD3488,12,Female,Undergraduate,Medicine,Yes,5,1,Yes,Physics,Beginner,1,Yes,3,Medium,Yes,Positive,No,North America,No
STUD3505,12,Prefer not to say,Postgraduate,Medicine,No,2,4,No,Physics,Beginner,2,Yes,5,High,No,Negative,Yes,South America,No
STUD3516,12,Male,High School,Medicine,Yes,0,3,No,Physics,Beginner,5,No,3,High,Yes,Positive,Yes,Oceania,Yes
STUD3569,12,Non-binary,Undergraduate,Engineering,Yes,1,5,No,History,Advanced,2,No,3,Low,No,Positive,Yes,South America,No
STUD3595,12,Prefer not to say,High School,Business,Yes,9,3,Yes,Computer Science,Beginner,4,Yes,4,High,Yes,Neutral,Yes,Africa,No
STUD3613,12,Prefer not to say,Undergraduate,Law,Yes,10,3,No,Physics,Intermediate,5,Yes,2,Medium,No,Positive,Yes,Europe,Yes
STUD3614,12,Male,High School,Law,No,1,3,No,Math,Intermediate,1,No,1,High,Yes,Neutral,No,North America,Yes
STUD3625,12,Prefer not to say,Undergraduate,Science,Yes,5,2,Yes,Computer Science,Advanced,4,Yes,2,Low,No,Positive,No,Africa,No
STUD3637,12,Non-binary,High School,Education,No,9,1,Yes,Biology,Advanced,1,Yes,3,Low,Yes,Positive,No,Asia,No
STUD3666,12,Female,Postgraduate,Business,No,3,5,Yes,Economics,Advanced,5,No,3,Medium,Yes,Negative,Yes,North America,Yes
STUD3684,12,Prefer not to say,Undergraduate,Law,Yes,10,1,Yes,Math,Beginner,1,Yes,4,Medium,No,Neutral,Yes,Africa,Yes
STUD3709,12,Prefer not to say,High School,Law,Yes,2,2,No,Computer Science,Intermediate,1,Yes,1,Low,No,Neutral,No,South America,No
STUD3717,12,Female,High School,Education,No,2,1,Yes,Biology,Beginner,5,No,4,Medium,No,Neutral,Yes,Asia,No
STUD3725,12,Prefer not to say,High School,Education,Yes,10,5,No,Art,Intermediate,1,No,5,High,No,Positive,Yes,Oceania,Yes
STUD3772,12,Non-binary,Undergraduate,Education,No,6,4,No,Physics,Advanced,1,Yes,2,High,No,Neutral,No,North America,No
STUD3774,12,Non-binary,High School,Science,No,8,5,Yes,Art,Beginner,1,No,3,Medium,Yes,Neutral,No,South America,Yes
STUD3789,12,Non-binary,Postgraduate,Arts,No,2,4,Yes,Biology,Beginner,2,Yes,5,High,No,Negative,Yes,Africa,No
STUD3822,12,Non-binary,Postgraduate,Law,No,1,1,No,History,Intermediate,5,Yes,4,Medium,No,Negative,Yes,Oceania,Yes
STUD3871,12,Non-binary,High School,Science,No,9,5,Yes,Art,Beginner,4,No,3,High,No,Negative,Yes,Africa,Yes
STUD3911,12,Female,Postgraduate,Arts,No,2,1,Yes,Economics,Intermediate,1,No,1,Medium,No,Negative,Yes,North America,No
STUD3930,12,Male,Undergraduate,Education,Yes,2,2,No,Economics,Beginner,2,Yes,1,Low,Yes,Positive,No,Asia,No
STUD3932,12,Female,Postgraduate,Law,No,6,5,Yes,Math,Advanced,2,Yes,4,Medium,No,Neutral,No,Africa,No
STUD3956,12,Female,Postgraduate,Engineering,Yes,2,5,No,Biology,Intermediate,5,No,1,Low,Yes,Positive,Yes,North America,No
STUD3977,12,Prefer not to say,Undergraduate,Engineering,No,10,5,No,Biology,Advanced,5,No,2,Medium,Yes,Positive,No,North America,No
STUD3988,12,Prefer not to say,Postgraduate,Medicine,Yes,6,1,Yes,Physics,Advanced,3,Yes,2,Low,Yes,Negative,No,North America,Yes
STUD4006,12,Prefer not to say,High School,Science,Yes,10,3,No,Art,Advanced,2,Yes,1,High,No,Negative,No,Africa,No
STUD4021,12,Female,High School,Law,Yes,7,3,No,Computer Science,Beginner,5,Yes,4,High,Yes,Positive,No,Africa,Yes
STUD4023,12,Prefer not to say,Postgraduate,Arts,Yes,0,4,Yes,Math,Advanced,4,No,1,High,No,Positive,Yes,North America,Yes
